employee_id,attendance_date,hours_worked
3,2023-01-21,
89,2023-01-05,8
18,2023-09-09,8
91,2023-08-01,6
191,2023-08-19,6
6,2023-11-26,4
199,2023-09-05,6
194,2023-04-09,8
94,2023-04-22,6
74,2023-05-04,8
48,2023-08-05,4
173,2023-06-09,10
94,2023-02-16,4
148,2023-12-21,10
101,2023-01-26,4
16,2023-04-06,6
125,2023-03-03,10
36,2023-10-16,4
56,2023-09-21,6
72,2023-10-01,4
17,2023-09-08,8
22,2023-07-11,0
63,2023-03-02,10
155,2023-11-13,10
40,2023-10-19,6
78,2023-04-30,6
104,2023-10-14,8
72,2023-04-30,4
112,2023-06-13,6
16,2023-05-07,6
162,2023-11-29,8
38,2023-12-27,6
94,2023-01-01,8
129,2023-02-25,
67,2023-07-21,
185,2023-05-04,6
51,2023-07-08,10
132,2023-02-04,6
121,2023-12-19,6
168,2023-03-24,4
121,2023-10-12,6
25,2023-05-17,8
116,2023-11-25,6
106,2023-09-18,8
146,2023-01-20,4
171,2023-09-16,
84,2023-05-07,
53,2023-02-26,4
135,2023-05-13,8
158,2023-01-13,0
15,2023-06-17,
14,2023-09-23,0
63,2023-07-03,0
120,2023-11-09,
139,2023-04-01,
58,2023-06-16,8
92,2023-05-03,4
144,2023-03-28,8
29,2023-03-31,6
109,2023-12-31,
112,2023-01-08,
92,2023-02-08,6
143,2023-12-09,6
3,2023-04-02,0
43,2023-09-29,8
24,2023-04-21,6
120,2023-01-26,6
109,2023-10-08,0
81,2023-02-07,4
165,2023-03-25,8
125,2023-12-28,6
129,2023-07-06,8
59,2023-05-08,4
190,2023-05-22,8
1,2023-09-19,4
93,2023-04-27,0
44,2023-06-18,8
150,2023-10-20,6
131,2023-08-11,6
88,2023-09-04,
66,2023-04-10,8
52,2023-02-08,4
51,2023-12-10,6
114,2023-03-10,8
166,2023-05-26,4
158,2023-07-30,4
34,2023-04-26,8
115,2023-11-27,8
175,2023-01-13,10
127,2023-07-02,8
151,2023-07-02,
94,2023-06-11,6
5,2023-01-20,6
175,2023-12-25,8
114,2023-05-28,8
76,2023-02-26,
136,2023-08-19,0
184,2023-10-14,8
2,2023-10-06,8
130,2023-02-16,8
106,2023-10-03,6
160,2023-10-15,0
47,2023-02-05,
47,2023-04-23,6
185,2023-01-14,8
106,2023-12-04,6
54,2023-05-04,4
44,2023-08-12,
129,2023-03-17,8
189,2023-09-21,6
44,2023-09-29,
164,2023-08-21,4
178,2023-10-13,8
47,2023-07-27,6
86,2023-01-18,8
45,2023-05-13,8
106,2023-06-09,8
72,2023-02-22,6
108,2023-07-26,0
182,2023-06-12,6
101,2023-02-21,0
20,2023-05-30,8
87,2023-11-28,10
194,2023-09-14,6
141,2023-07-02,6
21,2023-01-21,
91,2023-05-30,4
40,2023-01-14,
60,2023-05-17,6
8,2023-03-25,8
180,2023-12-02,4
91,2023-10-01,8
156,2023-12-04,0
49,2023-03-04,
153,2023-08-04,6
161,2023-03-27,6
51,2023-07-17,10
56,2023-08-28,
84,2023-06-15,4
76,2023-02-20,
105,2023-05-09,4
45,2023-12-30,8
140,2023-01-13,0
143,2023-09-17,6
159,2023-06-07,4
39,2023-10-06,
47,2023-08-26,6
46,2023-01-13,6
53,2023-09-28,0
132,2023-02-28,
51,2023-12-12,0
173,2023-07-12,8
163,2023-06-17,10
67,2023-11-10,
190,2023-03-16,4
27,2023-04-25,8
174,2023-06-23,4
130,2023-03-14,6
180,2023-09-17,6
154,2023-11-14,4
19,2023-01-19,0
173,2023-03-10,0
15,2023-02-17,0
144,2023-02-11,0
73,2023-11-17,4
145,2023-08-31,8
32,2023-07-13,8
33,2023-09-06,10
77,2023-03-11,
164,2023-01-07,8
168,2023-05-23,6
156,2023-12-01,6
151,2023-11-06,4
26,2023-08-30,6
20,2023-10-17,6
64,2023-02-13,0
80,2023-07-30,4
189,2023-11-28,10
54,2023-03-22,8
194,2023-05-15,8
114,2023-02-26,6
128,2023-11-25,8
1,2023-11-12,
158,2023-07-26,8
166,2023-11-01,8
142,2023-07-11,10
138,2023-02-25,4
82,2023-02-05,6
122,2023-07-28,6
196,2023-09-27,8
34,2023-09-02,10
64,2023-11-11,6
63,2023-08-19,8
127,2023-07-16,0
5,2023-02-24,6
84,2023-08-09,0
110,2023-08-05,4
33,2023-12-08,
38,2023-11-22,6
86,2023-08-22,4
80,2023-12-12,4
79,2023-07-01,8
111,2023-09-21,
109,2023-12-25,6
137,2023-12-29,4
95,2023-04-19,10
23,2023-07-04,
94,2023-03-05,10
169,2023-02-19,10
168,2023-06-17,6
67,2023-08-08,0
48,2023-12-02,
82,2023-01-30,8
196,2023-12-29,0
188,2023-02-10,
144,2023-10-28,4
62,2023-06-24,8
32,2023-02-03,8
142,2023-01-25,6
119,2023-02-20,6
80,2023-05-29,8
176,2023-03-27,4
30,2023-08-06,4
155,2023-03-30,
17,2023-03-05,6
175,2023-04-03,10
11,2023-05-01,4
53,2023-09-11,8
76,2023-06-17,4
15,2023-09-14,6
194,2023-03-18,
135,2023-11-01,8
124,2023-08-29,6
51,2023-09-01,0
4,2023-11-14,10
71,2023-09-15,10
153,2023-08-13,
42,2023-12-25,6
113,2023-01-22,
7,2023-07-04,
189,2023-01-11,4
18,2023-01-30,4
51,2023-06-22,6
87,2023-01-19,6
91,2023-04-08,4
168,2023-11-25,4
43,2023-05-23,8
2,2023-10-09,8
89,2023-01-13,
17,2023-09-26,4
67,2023-01-31,
21,2023-06-29,6
153,2023-09-18,4
136,2023-08-20,8
123,2023-12-01,0
171,2023-09-30,6
175,2023-06-09,4
23,2023-10-04,0
116,2023-10-30,6
16,2023-09-06,0
133,2023-03-20,4
80,2023-11-02,
35,2023-12-16,6
23,2023-05-08,
139,2023-10-14,6
58,2023-05-08,8
17,2023-06-27,4
119,2023-02-02,0
49,2023-03-31,4
174,2023-06-21,4
188,2023-08-21,0
79,2023-08-18,4
20,2023-06-08,6
97,2023-06-27,6
131,2023-08-07,0
89,2023-11-24,6
6,2023-06-18,6
89,2023-08-30,8
200,2023-08-24,8
139,2023-05-19,6
8,2023-02-17,6
17,2023-08-12,0
160,2023-04-25,4
187,2023-11-26,0
38,2023-11-30,0
152,2023-11-12,4
117,2023-03-18,8
189,2023-08-02,
63,2023-01-19,
163,2023-05-21,6
48,2023-03-02,
154,2023-11-11,8
79,2023-07-21,4
30,2023-11-30,8
139,2023-01-13,8
167,2023-06-21,10
33,2023-12-24,6
199,2023-06-09,4
160,2023-05-24,8
125,2023-10-11,
131,2023-03-27,8
107,2023-01-23,
117,2023-06-06,6
80,2023-06-26,8
45,2023-10-07,8
198,2023-09-07,6
104,2023-11-11,4
94,2023-06-25,6
108,2023-01-06,
48,2023-01-29,4
68,2023-05-23,8
162,2023-02-09,8
169,2023-05-08,6
63,2023-03-31,4
163,2023-12-23,8
75,2023-10-26,10
185,2023-11-26,8
173,2023-10-24,6
101,2023-03-02,
119,2023-08-18,0
98,2023-04-13,4
153,2023-02-10,
88,2023-08-10,4
193,2023-02-24,
113,2023-08-05,0
100,2023-06-18,
184,2023-11-03,6
84,2023-01-29,4
182,2023-12-19,8
19,2023-08-05,8
188,2023-03-27,
32,2023-08-12,6
56,2023-08-30,6
43,2023-07-24,6
59,2023-08-17,4
170,2023-04-08,
138,2023-10-22,8
108,2023-05-24,4
51,2023-06-07,0
75,2023-01-26,
106,2023-11-04,6
168,2023-11-10,
49,2023-10-10,6
113,2023-11-12,4
54,2023-04-04,8
46,2023-10-04,8
92,2023-08-27,
59,2023-11-17,0
178,2023-10-23,8
154,2023-01-15,8
97,2023-03-16,6
43,2023-04-27,10
140,2023-08-21,10
158,2023-08-27,4
167,2023-02-25,4
68,2023-08-25,4
112,2023-01-08,6
170,2023-07-01,6
12,2023-08-19,6
162,2023-07-22,8
166,2023-09-21,6
98,2023-08-17,
39,2023-11-08,0
126,2023-05-16,8
171,2023-08-01,8
70,2023-06-25,4
31,2023-03-27,4
43,2023-01-01,6
103,2023-09-02,6
119,2023-03-14,6
105,2023-10-13,4
174,2023-10-07,4
188,2023-11-13,4
41,2023-07-08,8
85,2023-10-12,
109,2023-10-15,6
200,2023-10-13,8
154,2023-05-15,4
125,2023-09-21,0
108,2023-06-02,6
147,2023-05-20,4
39,2023-06-16,4
167,2023-04-27,10
5,2023-12-06,6
122,2023-02-03,4
119,2023-12-03,6
159,2023-09-05,8
115,2023-12-09,0
173,2023-07-16,
150,2023-12-13,4
81,2023-10-25,6
183,2023-07-02,6
61,2023-01-28,6
111,2023-09-21,6
10,2023-10-31,
193,2023-12-25,0
30,2023-03-04,8
51,2023-11-04,0
146,2023-10-30,4
146,2023-08-07,8
27,2023-04-26,6
9,2023-12-08,
133,2023-02-28,6
68,2023-10-24,6
24,2023-02-20,6
26,2023-03-20,6
12,2023-06-17,
106,2023-03-17,6
135,2023-01-05,4
129,2023-08-13,
108,2023-02-12,6
22,2023-03-20,10
184,2023-06-06,
119,2023-04-24,
169,2023-03-12,
143,2023-07-07,8
168,2023-01-06,6
83,2023-06-12,0
65,2023-08-06,4
74,2023-03-20,10
193,2023-08-16,6
107,2023-11-23,
189,2023-06-21,8
120,2023-02-07,6
45,2023-09-14,8
187,2023-08-28,
76,2023-07-16,10
102,2023-07-29,6
135,2023-07-28,10
93,2023-10-12,8
45,2023-06-09,4
13,2023-10-11,8
189,2023-12-26,4
42,2023-01-17,
72,2023-10-31,6
199,2023-10-07,8
132,2023-04-28,
26,2023-06-15,
155,2023-09-23,8
126,2023-04-22,0
147,2023-07-08,6
93,2023-10-03,6
39,2023-06-03,8
62,2023-04-15,8
179,2023-06-04,8
139,2023-03-22,10
70,2023-03-22,4
98,2023-12-26,0
68,2023-08-31,6
100,2023-01-19,4
114,2023-02-13,6
165,2023-10-13,0
47,2023-08-21,6
61,2023-11-04,8
97,2023-11-25,8
60,2023-01-22,6
13,2023-07-08,6
167,2023-09-29,4
125,2023-09-14,8
48,2023-05-03,6
7,2023-06-25,0
119,2023-05-06,10
4,2023-07-18,6
68,2023-01-20,6
185,2023-08-28,
145,2023-07-11,8
93,2023-06-15,
151,2023-01-05,8
1,2023-07-19,8
200,2023-10-12,8
141,2023-11-15,4
138,2023-02-17,4
90,2023-11-11,6
154,2023-10-25,0
183,2023-07-01,4
51,2023-10-11,8
165,2023-07-22,6
187,2023-01-29,6
75,2023-07-25,8
112,2023-10-10,6
191,2023-04-15,4
184,2023-07-23,
142,2023-07-26,8
143,2023-05-05,6
125,2023-07-04,6
109,2023-10-02,10
153,2023-04-27,8
94,2023-10-20,6
128,2023-05-27,
117,2023-08-15,6
174,2023-01-31,6
50,2023-08-27,0
64,2023-01-18,4
9,2023-03-16,0
36,2023-12-15,8
137,2023-02-26,6
65,2023-09-01,8
129,2023-11-08,6
177,2023-04-21,
99,2023-09-12,4
22,2023-10-20,6
81,2023-08-13,8
196,2023-03-04,
98,2023-12-14,4
44,2023-02-01,4
136,2023-01-27,6
200,2023-08-12,4
26,2023-09-28,8
138,2023-05-29,8
146,2023-03-20,4
145,2023-01-20,8
77,2023-06-23,8
25,2023-08-22,8
187,2023-01-28,0
63,2023-04-01,8
163,2023-07-08,
83,2023-10-28,4
144,2023-09-05,6
86,2023-10-01,8
141,2023-07-08,8
4,2023-01-25,0
164,2023-01-28,8
72,2023-04-06,
80,2023-01-02,0
63,2023-11-13,10
39,2023-09-12,8
107,2023-09-21,8
117,2023-07-12,4
33,2023-12-31,8
121,2023-11-12,
10,2023-09-16,4
135,2023-12-03,0
15,2023-10-30,8
121,2023-02-25,6
170,2023-11-10,6
23,2023-05-29,8
158,2023-12-14,8
6,2023-06-30,6
26,2023-12-17,4
186,2023-11-25,8
150,2023-11-28,6
166,2023-03-27,
39,2023-11-06,6
161,2023-10-02,6
6,2023-11-16,4
105,2023-12-24,4
176,2023-11-27,6
88,2023-03-14,6
51,2023-12-17,10
68,2023-12-04,4
177,2023-09-29,6
158,2023-11-04,6
101,2023-04-14,8
126,2023-01-20,6
175,2023-02-16,6
42,2023-07-02,6
155,2023-02-15,6
5,2023-12-29,0
123,2023-06-14,6
149,2023-01-23,8
189,2023-09-17,4
198,2023-10-10,
53,2023-07-11,
137,2023-05-10,6
1,2023-08-17,0
186,2023-06-15,8
32,2023-04-01,4
189,2023-03-23,4
187,2023-02-07,4
51,2023-03-05,0
173,2023-08-29,0
199,2023-06-15,8
138,2023-11-23,4
34,2023-04-01,
5,2023-12-14,0
24,2023-09-27,8
31,2023-09-09,6
21,2023-08-08,
168,2023-11-17,6
65,2023-08-27,
41,2023-10-22,4
58,2023-03-16,10
158,2023-08-19,4
136,2023-02-15,6
27,2023-03-09,6
74,2023-07-20,8
171,2023-06-18,8
186,2023-08-26,4
77,2023-08-01,4
17,2023-10-14,0
3,2023-04-18,6
111,2023-09-10,6
46,2023-02-24,8
63,2023-06-15,0
25,2023-04-23,4
26,2023-06-13,8
78,2023-12-06,0
2,2023-02-01,0
169,2023-08-27,6
147,2023-06-03,10
180,2023-04-21,8
83,2023-02-18,6
84,2023-08-30,8
35,2023-02-17,8
54,2023-03-02,8
101,2023-03-22,8
128,2023-04-16,4
110,2023-04-04,8
175,2023-01-23,4
153,2023-05-27,6
67,2023-04-16,6
93,2023-03-22,0
17,2023-08-21,
10,2023-04-19,10
34,2023-09-13,
120,2023-08-15,6
157,2023-05-02,8
61,2023-10-30,6
13,2023-09-25,6
140,2023-05-10,10
113,2023-05-25,10
78,2023-01-17,8
79,2023-09-09,
119,2023-05-24,8
191,2023-07-05,8
174,2023-11-25,
72,2023-10-11,0
158,2023-03-18,0
190,2023-06-02,8
148,2023-11-19,
95,2023-08-24,8
103,2023-10-12,10
51,2023-06-01,8
199,2023-06-28,10
87,2023-11-14,8
69,2023-04-05,4
110,2023-06-03,4
22,2023-01-19,6
24,2023-07-07,8
62,2023-07-17,8
29,2023-03-30,8
77,2023-12-18,
81,2023-04-04,4
97,2023-09-04,6
99,2023-01-15,8
40,2023-02-07,
73,2023-01-15,8
89,2023-06-13,4
76,2023-12-21,8
15,2023-02-11,6
56,2023-07-06,0
147,2023-05-26,8
99,2023-09-21,
126,2023-04-30,4
21,2023-11-04,4
89,2023-05-06,
56,2023-01-24,8
93,2023-09-15,6
7,2023-10-29,8
91,2023-10-01,8
76,2023-08-23,4
53,2023-08-03,8
60,2023-09-13,10
160,2023-01-12,
66,2023-02-07,8
137,2023-04-16,
186,2023-12-06,8
146,2023-03-15,6
14,2023-06-13,8
60,2023-04-10,0
138,2023-12-18,
82,2023-06-20,8
159,2023-11-16,0
2,2023-01-28,0
169,2023-11-14,0
86,2023-07-23,4
141,2023-09-18,6
170,2023-12-13,8
5,2023-05-28,8
93,2023-02-15,4
68,2023-03-21,0
115,2023-06-23,8
32,2023-04-09,8
49,2023-07-18,8
158,2023-02-22,8
43,2023-05-22,6
191,2023-10-18,0
50,2023-02-14,4
84,2023-07-06,6
165,2023-02-28,8
132,2023-05-09,8
97,2023-07-02,6
38,2023-08-19,6
100,2023-05-04,8
106,2023-02-25,
164,2023-04-20,0
74,2023-05-14,
94,2023-06-07,4
